,Symbol,BuyerSerialNum,SellerSerialNum,BuyerOrderID,SellerOrderID,BuyerClientID,SellerClientID,ExecPrice,CashTraded,SharesTraded,CreationTimestamp,ReleaseTimestamp,TradeSerialNum
0,AE,0,0,NULL,NULL,NULL,NULL,7,7,1,1603850885463878,1603850885464228,814372
1,AE,0,0,NULL,NULL,NULL,NULL,7,7,1,1603850885465132,1603850885465482,814373
2,AE,0,0,NULL,NULL,NULL,NULL,5,5,1,1603850890519369,1603850890519719,815042
3,AE,0,0,NULL,NULL,NULL,NULL,5,5,1,1603850890520563,1603850890520913,815043
4,AE,0,0,NULL,NULL,NULL,NULL,4,4,1,1603850891556007,1603850891556357,815154
5,AE,0,0,NULL,NULL,NULL,NULL,5,5,1,1603850894579422,1603850894579772,815463
6,AE,0,0,NULL,NULL,NULL,NULL,7,7,1,1603850894604355,1603850894604705,815469
7,AE,0,0,NULL,NULL,NULL,NULL,7,7,1,1603850894607152,1603850894607502,815471
8,AE,0,0,NULL,NULL,NULL,NULL,7,7,1,1603850896652129,1603850896652479,815642
9,AE,0,0,NULL,NULL,NULL,NULL,7,7,1,1603850896653437,1603850896653787,815643
10,AE,0,0,NULL,NULL,NULL,NULL,5,5,1,1603850898677678,1603850898678028,815838
11,AE,0,0,NULL,NULL,NULL,NULL,5,5,1,1603850898678740,1603850898679090,815839
12,AE,0,0,NULL,NULL,NULL,NULL,5,5,1,1603850901734560,1603850901734910,816155
13,AE,0,0,NULL,NULL,NULL,NULL,5,5,1,1603850901735785,1603850901736135,816156
14,AE,0,0,NULL,NULL,NULL,NULL,7,7,1,1603850902769696,1603850902770046,816263
15,AE,0,0,NULL,NULL,NULL,NULL,7,7,1,1603850902770852,1603850902771202,816264
16,AE,0,0,NULL,NULL,NULL,NULL,8,8,1,1603850905800399,1603850905800749,816574
17,AE,0,0,NULL,NULL,NULL,NULL,8,8,1,1603850905801717,1603850905802067,816575
18,AE,0,0,NULL,NULL,NULL,NULL,6,6,1,1603850907833929,1603850907834279,816791
19,AE,0,0,NULL,NULL,NULL,NULL,6,6,1,1603850907834940,1603850907835290,816792
20,AE,0,0,NULL,NULL,NULL,NULL,8,8,1,1603850908868182,1603850908868532,816895
