,Symbol,BuyerSerialNum,SellerSerialNum,BuyerOrderID,SellerOrderID,BuyerClientID,SellerClientID,ExecPrice,CashTraded,SharesTraded,CreationTimestamp,ReleaseTimestamp,TradeSerialNum
0,AN,0,0,NULL,NULL,NULL,NULL,67,6097,91,1603850879227856,1603850879228206,813667
1,AN,0,0,NULL,NULL,NULL,NULL,64,6400,100,1603850879227862,1603850879228212,813668
2,AN,0,0,NULL,NULL,NULL,NULL,63,6174,98,1603850879227865,1603850879228215,813669
3,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850879274341,1603850879274691,813689
4,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850879279723,1603850879280073,813693
5,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850881343089,1603850881343439,813820
6,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850881347750,1603850881348100,813821
7,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850883390577,1603850883390927,813982
8,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850883391768,1603850883392118,813983
9,AN,0,0,NULL,NULL,NULL,NULL,18,18,1,1603850885421589,1603850885421939,814252
10,AN,0,0,NULL,NULL,NULL,NULL,18,18,1,1603850885422719,1603850885423069,814289
11,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850887463678,1603850887464028,814568
12,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850887464843,1603850887465193,814569
13,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850891522649,1603850891522999,815150
14,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850891523913,1603850891524263,815151
15,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850892597936,1603850892598286,815256
16,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850892602223,1603850892602573,815257
17,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850893698441,1603850893698791,815379
18,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850893699769,1603850893700119,815381
19,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850894800282,1603850894800632,815494
20,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850894801657,1603850894802007,815495
21,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850895907797,1603850895908147,815573
22,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850895942151,1603850895942501,815579
23,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850897093607,1603850897093957,815696
24,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850897096331,1603850897096681,815698
25,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850899130364,1603850899130714,815885
26,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850899131631,1603850899131981,815886
27,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850901184855,1603850901185205,816098
28,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850901186077,1603850901186427,816099
29,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850903211065,1603850903211415,816310
30,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850903212431,1603850903212781,816311
31,AN,0,0,NULL,NULL,NULL,NULL,18,18,1,1603850906277496,1603850906277846,816603
32,AN,0,0,NULL,NULL,NULL,NULL,18,18,1,1603850906278801,1603850906279151,816604
33,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850907364631,1603850907364981,816721
34,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850907365909,1603850907366259,816722
35,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850909392043,1603850909392393,816949
36,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850909393310,1603850909393660,816950
37,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850914419769,1603850914420119,817460
38,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850914420892,1603850914421242,817461
39,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850916444202,1603850916444552,817665
40,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850916445286,1603850916445636,817666
41,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850919469800,1603850919470150,817967
42,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850919471166,1603850919471516,817968
43,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850924496138,1603850924496488,818456
44,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850924497259,1603850924497609,818457
45,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850926521265,1603850926521615,818654
46,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850926522392,1603850926522742,818655
47,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850930546938,1603850930547288,819054
48,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850930548162,1603850930548512,819055
49,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850933584713,1603850933585063,819371
50,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850933586040,1603850933586390,819372
51,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850934616055,1603850934616405,819458
52,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850934617283,1603850934617633,819459
53,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850935653803,1603850935654153,819572
54,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850935655113,1603850935655463,819574
55,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850936690171,1603850936690521,819671
56,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850936691363,1603850936691713,819672
57,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850938744782,1603850938745132,819879
58,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850938747575,1603850938747925,819881
59,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850940801244,1603850940801594,820085
60,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850940802437,1603850940802787,820086
61,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850942850427,1603850942850777,820280
62,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850942851550,1603850942851900,820281
63,AN,0,0,NULL,NULL,NULL,NULL,18,18,1,1603850943948590,1603850943948940,820382
64,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850945962588,1603850945962938,820598
65,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850945973638,1603850945973988,820599
66,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850945974845,1603850945975195,820602
67,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850947014501,1603850947014851,820711
68,AN,0,0,NULL,NULL,NULL,NULL,19,19,1,1603850947015533,1603850947015883,820712
